;Pesquisador Responsável;UF;Nome;Ano de Criação;Site;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
50;Thierry;RN;ARSEP;1999;https://www.arsep.rn.gov.br/2022/;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;0;1;6;1;1;1;1
33;Gustavo;AM;ARSEPAM;1999;http://www.arsepam.am.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;48;0;0;0;0;0;0;0;1;6;0;-1;0;0
4;Soraya;AM;ARSEPAM;1999;http://www.arsepam.am.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;48;0;0;0;0;0;0;0;1;6;0;-1;0;0
26;Bernardo;SP;ARSESP;2007;http://www.arsesp.sp.gov.br/SitePages/home.aspx;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;60;1;5;0;1;0;0;0;1;4;1;0;1;1
55;José Vasco;SP;ARSESP;2007;http://www.arsesp.sp.gov.br/SitePages/home.aspx;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;60;1;5;0;1;0;0;0;1;4;1;0;1;1
63;Daniel;ES;ARSP;1998;https://arsp.es.gov.br/;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;36;0;-1;0;0;0;0;0;1;12;0;1;1;0
8;Julia;ES;ARSP;1998;https://arsp.es.gov.br/;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;36;0;-1;0;0;0;0;0;1;12;0;1;1;0
37;Valeria;ES;ARSP;1998;https://arsp.es.gov.br/;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;36;0;-1;0;0;0;0;0;1;12;0;1;1;0
54;Gustavo;SP;ARTESP;2002;www.artesp.sp.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;48;1;5;0;0;0;0;1;0;0;1;1;1;1
25;Soraya;SP;ARTESP;2002;www.artesp.sp.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;48;1;5;0;0;0;0;1;0;0;1;1;1;1
57;Gustavo;TO;ATR;2006;https://www.to.gov.br/atr/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;48;0;0;0;1;0;0;0;1;4;0;0;1;0
28;Soraya;TO;ATR;2000;https://www.to.gov.br/atr/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;48;0;0;0;1;0;0;0;1;4;0;0;1;0
39;Gustavo;MA;MOB;2015;https://mob.ma.gov.br/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Soraya;MA;MOB;2015;https://mob.ma.gov.br/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
