ID;Pesquisador Responsável;Nome;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
16;Lucas;AGEPAR;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;48;1;5;1;1;0;0;1;1;12;0;-1;1;1
12;Lucas;AGER;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;48;0;-1;0;1;0;0;0;1;6;0;-1;1;1
22;Lucas;AGERGS;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;48;1;5;0;1;0;1;0;1;6;0;-1;0;1
9;Lucas;AGR;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;48;1;0;0;1;0;0;1;0;1;0;0;1;1
24;Lucas;ARESC;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;0;1;6;0;0;1;1
3;Lucas;ARSAP;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;60;1;2;0;1;0;0;1;1;12;1;0;1;1
21;Lucas;ARSEP;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;0;1;6;0;0;1;1
29;Soraya;ADASA;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;60;1;0;1;1;1;0;0;0;0;1;0;1;0
11;Soraya;AGEMS;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;48;1;0;0;1;1;0;0;0;0;1;1;1;0
20;Soraya;AGENERSA;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;48;1;10;1;1;1;0;0;0;0;1;0;0;-1
